
Predictions were generated on 05-Feb-2019 at 10:24:22 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 64-bit application using single precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); InflowWind (v3.03.00, 26-Jul-2016); AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016); ServoDyn (v1.06.00a-bjj, 26-Jul-2016)

Description from the FAST input file: ---

Time      	Spn2ALxb1 	TipDyb2   	TipDxb2   	Spn2ALyb1 	TipALyb2  	TipALxb2  	LSSGagPxa 	TeetDefl  	LSSGagVxa 	YawBrRDyt 	YawBrRAxp 	YawBrRVyp 	YawBrRDxt 	YawBrRAyp 	YawBrRVxp 	RootFxc2  	Spn3MLxb1 	RootMyc1  	RootFyc2  	Spn3MLyb1 	RootMxc1  	RotTorq   	YawBrMzn  	TwrBsMzt  
(s)       	(m/s^2)   	(m)       	(m)       	(m/s^2)   	(m/s^2)   	(m/s^2)   	(deg)     	(deg)     	(rpm)     	(deg)     	(deg/s^2) 	(deg/s)   	(deg)     	(deg/s^2) 	(deg/s)   	(kN)      	(kN·m)    	(kN·m)    	(kN)      	(kN·m)    	(kN·m)    	(kN·m)    	(kN·m)    	(kN·m)    
   10.2400	 2.961E+01	-2.069E-02	 1.764E-01	 2.420E+00	-1.318E-01	 6.442E+01	 9.648E+01	-4.224E-01	 5.430E+01	 9.475E-02	 1.744E-01	 7.823E-04	 3.015E-02	 5.962E-01	-1.069E-02	 5.022E+00	 2.806E+00	 3.874E+01	 1.571E+00	 4.470E+00	 3.485E+01	 3.703E+01	-5.054E+00	-5.051E+00
   10.2600	 2.976E+01	-2.078E-02	 1.752E-01	 2.483E+00	-4.527E-02	 6.478E+01	 1.030E+02	-5.418E-01	 5.430E+01	 9.489E-02	 1.220E-01	 1.277E-02	 2.997E-02	 5.511E-01	-7.804E-03	 4.980E+00	 2.768E+00	 3.890E+01	 1.481E+00	 4.451E+00	 3.453E+01	 3.734E+01	-4.286E+00	-4.284E+00
   10.2800	 3.002E+01	-2.119E-02	 1.743E-01	 2.491E+00	 3.716E-01	 6.476E+01	 1.095E+02	-6.527E-01	 5.430E+01	 9.524E-02	 1.345E-01	 2.126E-02	 2.984E-02	 2.773E-01	-5.366E-03	 4.910E+00	 2.652E+00	 3.894E+01	 1.305E+00	 4.442E+00	 3.363E+01	 3.760E+01	-3.486E+00	-3.484E+00
   10.3000	 3.015E+01	-2.171E-02	 1.735E-01	 2.502E+00	 6.478E-01	 6.465E+01	 1.160E+02	-7.536E-01	 5.431E+01	 9.570E-02	 2.095E-01	 2.386E-02	 2.976E-02	 1.151E-03	-1.992E-03	 4.839E+00	 2.510E+00	 3.900E+01	 1.094E+00	 4.410E+00	 3.245E+01	 3.766E+01	-2.726E+00	-2.724E+00
   10.3200	 3.007E+01	-2.218E-02	 1.730E-01	 2.565E+00	 5.025E-01	 6.462E+01	 1.225E+02	-8.435E-01	 5.431E+01	 9.616E-02	 2.894E-01	 2.257E-02	 2.977E-02	-9.284E-02	 3.047E-03	 4.783E+00	 2.394E+00	 3.917E+01	 8.797E-01	 4.344E+00	 3.129E+01	 3.759E+01	-1.970E+00	-1.970E+00
   10.3400	 2.985E+01	-2.257E-02	 1.726E-01	 2.688E+00	 8.560E-03	 6.461E+01	 1.291E+02	-9.215E-01	 5.431E+01	 9.660E-02	 3.168E-01	 2.151E-02	 2.989E-02	 1.276E-02	 9.226E-03	 4.742E+00	 2.315E+00	 3.942E+01	 6.490E-01	 4.265E+00	 3.021E+01	 3.751E+01	-1.204E+00	-1.205E+00
   10.3600	 2.967E+01	-2.299E-02	 1.722E-01	 2.841E+00	-5.323E-01	 6.449E+01	 1.356E+02	-9.870E-01	 5.431E+01	 9.705E-02	 2.727E-01	 2.352E-02	 3.014E-02	 1.854E-01	 1.523E-02	 4.701E+00	 2.245E+00	 3.967E+01	 3.839E-01	 4.204E+00	 2.906E+01	 3.750E+01	-4.863E-01	-4.875E-01
   10.3800	 2.963E+01	-2.355E-02	 1.718E-01	 2.978E+00	-8.900E-01	 6.437E+01	 1.421E+02	-1.039E+00	 5.431E+01	 9.756E-02	 1.883E-01	 2.836E-02	 3.049E-02	 2.762E-01	 1.986E-02	 4.653E+00	 2.148E+00	 3.987E+01	 6.323E-02	 4.185E+00	 2.764E+01	 3.755E+01	 7.863E-02	 7.669E-02
   10.4000	 2.962E+01	-2.429E-02	 1.713E-01	 3.066E+00	-1.010E+00	 6.438E+01	 1.486E+02	-1.078E+00	 5.431E+01	 9.818E-02	 1.095E-01	 3.353E-02	 3.092E-02	 2.087E-01	 2.281E-02	 4.591E+00	 2.002E+00	 4.003E+01	-3.155E-01	 4.201E+00	 2.584E+01	 3.758E+01	 3.827E-01	 3.802E-01
   10.4200	 2.970E+01	-2.517E-02	 1.707E-01	 3.123E+00	-9.545E-01	 6.437E+01	 1.551E+02	-1.103E+00	 5.432E+01	 9.889E-02	 7.093E-02	 3.632E-02	 3.139E-02	 6.763E-02	 2.455E-02	 4.557E+00	 1.815E+00	 4.027E+01	-7.336E-01	 4.233E+00	 2.374E+01	 3.755E+01	 4.256E-01	 4.226E-01
   10.4400	 2.949E+01	-2.610E-02	 1.700E-01	 3.158E+00	-9.537E-01	 6.458E+01	 1.616E+02	-1.113E+00	 5.432E+01	 9.961E-02	 4.748E-02	 3.559E-02	 3.190E-02	-1.135E-01	 2.567E-02	 4.480E+00	 1.623E+00	 4.038E+01	-1.172E+00	 4.258E+00	 2.147E+01	 3.738E+01	 2.257E-01	 2.225E-01
   10.4600	 2.708E+01	-2.700E-02	 1.691E-01	 3.202E+00	-1.020E+00	 6.479E+01	 1.682E+02	-1.110E+00	 5.431E+01	 1.003E-01	 3.056E-02	 3.148E-02	 3.242E-02	-2.872E-01	 2.646E-02	 4.275E+00	 1.514E+00	 3.987E+01	-1.638E+00	 4.291E+00	 1.892E+01	 3.697E+01	-3.792E-01	-3.827E-01
   10.4800	 2.116E+01	-2.780E-02	 1.675E-01	 3.579E+00	-1.034E+00	 6.450E+01	 1.747E+02	-1.097E+00	 5.431E+01	 1.009E-01	-7.759E-04	 2.710E-02	 3.296E-02	-1.670E-01	 2.702E-02	 4.130E+00	 1.548E+00	 3.910E+01	-2.080E+00	 4.668E+00	 1.659E+01	 3.669E+01	-8.592E-01	-8.629E-01
   10.5000	 3.568E+01	-2.843E-02	 1.645E-01	 3.574E+00	-1.037E+00	 6.393E+01	 1.812E+02	-1.075E+00	 5.431E+01	 1.014E-01	-9.272E-02	 2.155E-02	 3.349E-02	-3.304E-01	 2.566E-02	 3.654E+00	 9.375E-01	 3.680E+01	-2.622E+00	 4.964E+00	 1.300E+01	 3.572E+01	-2.067E+00	-2.070E+00
   10.5200	 3.096E+01	-2.902E-02	 1.601E-01	 3.089E+00	-8.991E-01	 6.333E+01	 1.877E+02	-1.045E+00	 5.429E+01	 1.018E-01	-1.166E-01	 2.082E-02	 3.398E-02	 1.710E-01	 2.390E-02	 4.081E+00	 4.773E-01	 3.834E+01	-3.050E+00	 4.379E+00	 9.889E+00	 3.455E+01	-2.751E+00	-2.754E+00
   10.5400	 2.955E+01	-2.942E-02	 1.582E-01	 3.220E+00	-2.709E+00	 6.908E+01	 1.942E+02	-9.911E-01	 5.428E+01	 1.022E-01	-2.299E-01	 2.655E-02	 3.443E-02	 3.610E-01	 2.033E-02	 4.195E+00	 5.635E-01	 3.961E+01	-3.310E+00	 3.859E+00	 9.459E+00	 3.480E+01	-2.228E+00	-2.231E+00
   10.5600	 2.835E+01	-2.996E-02	 1.591E-01	 3.654E+00	-3.742E+00	 7.011E+01	 2.007E+02	-9.214E-01	 5.428E+01	 1.028E-01	-2.629E-01	 3.201E-02	 3.478E-02	 1.173E-01	 1.525E-02	 4.224E+00	 7.339E-01	 4.016E+01	-3.611E+00	 3.558E+00	 9.473E+00	 3.597E+01	-1.800E+00	-1.802E+00
   10.5800	 2.860E+01	-3.094E-02	 1.625E-01	 3.983E+00	-3.527E+00	 6.619E+01	 2.073E+02	-8.402E-01	 5.428E+01	 1.035E-01	-2.314E-01	 2.928E-02	 3.504E-02	-3.982E-01	 1.025E-02	 4.073E+00	 7.232E-01	 3.981E+01	-4.013E+00	 3.570E+00	 8.438E+00	 3.694E+01	-2.194E+00	-2.195E+00
   10.6000	 2.957E+01	-3.232E-02	 1.671E-01	 4.015E+00	-2.922E+00	 6.254E+01	 2.138E+02	-7.474E-01	 5.429E+01	 1.039E-01	-1.845E-01	 1.746E-02	 3.520E-02	-7.102E-01	 6.088E-03	 3.819E+00	 4.951E-01	 3.914E+01	-4.473E+00	 3.808E+00	 6.118E+00	 3.705E+01	-3.385E+00	-3.385E+00
   10.6200	 3.010E+01	-3.388E-02	 1.712E-01	 3.795E+00	-2.290E+00	 6.133E+01	 2.203E+02	-6.452E-01	 5.429E+01	 1.041E-01	-1.623E-01	 4.425E-03	 3.529E-02	-5.067E-01	 2.701E-03	 3.713E+00	 1.316E-01	 3.909E+01	-4.939E+00	 4.042E+00	 3.068E+00	 3.645E+01	-4.845E+00	-4.844E+00
   10.6400	 2.977E+01	-3.530E-02	 1.737E-01	 3.553E+00	-1.944E+00	 6.251E+01	 2.268E+02	-5.358E-01	 5.429E+01	 1.042E-01	-1.958E-01	-5.211E-04	 3.531E-02	 2.984E-02	-7.874E-04	 3.824E+00	-1.816E-01	 3.991E+01	-5.340E+00	 4.151E+00	 4.095E-01	 3.584E+01	-5.926E+00	-5.925E+00
   10.6600	 2.907E+01	-3.632E-02	 1.752E-01	 3.522E+00	-2.163E+00	 6.461E+01	 2.333E+02	-4.201E-01	 5.428E+01	 1.042E-01	-2.592E-01	 4.594E-03	 3.525E-02	 4.195E-01	-5.337E-03	 4.018E+00	-2.948E-01	 4.104E+01	-5.629E+00	 4.188E+00	-9.759E-01	 3.579E+01	-6.331E+00	-6.329E+00
